municipality,province,population,latitude,longitude
Goirle,Noord-Brabant,23060.0,51.523677,5.064195
Gooise Meren,Noord-Holland,56687.0,52.304762,5.139699
Gorinchem,Zuid-Holland,35252.0,51.837225,4.975829
Gouda,Zuid-Holland,70923.0,52.011521,4.710463
Grave,Noord-Brabant,12696.0,51.759005,5.73856
Groningen,Groningen,198108.0,53.219383,6.566502
Grootegast,Groningen,12193.0,53.211132,6.274589
Gulpen-Wittem,Limburg,14492.0,50.800934,5.897288
Haaksbergen,Overijssel,24357.0,52.160665,6.7381
Haaren,Noord-Brabant,13578.0,51.602133,5.226712
Haarlem,Noord-Holland,155205.0,52.387388,4.646219
Haarlemmerliede en Spaarnwoude,Noord-Holland,5547.0,52.414352,4.692848
Haarlemmermeer,Noord-Holland,144166.0,52.300378,4.674359
Halderberge,Noord-Brabant,29379.0,51.586263,4.513956
Hardenberg,Overijssel,59592.0,52.575408,6.616695
Harderwijk,Gelderland,45741.0,52.342202,5.636742
Hardinxveld-Giessendam,Zuid-Holland,17736.0,51.83243,4.833641
Haren,Groningen,18790.0,53.171826,6.605243
Harlingen,Friesland,15810.0,53.174638,5.425152
Hattem,Gelderland,11742.0,52.473931,6.068176
Heemskerk,Noord-Holland,39092.0,52.514146,4.682137
Heemstede,Noord-Holland,26320.0,52.351063,4.6203
Heerde,Gelderland,18515.0,52.390918,6.049638
Heerenveen,Friesland,49388.0,52.960561,5.920522
Heerhugowaard,Noord-Holland,53246.0,52.662677,4.832477
Heerlen,Limburg,88202.0,50.888174,5.979499
Heeze-Leende,Noord-Brabant,15376.0,51.360442,5.59846
Heiloo,Noord-Holland,22626.0,52.601234,4.700493
Hellendoorn,Overijssel,35697.0,52.376905,6.459724
Hellevoetsluis,Zuid-Holland,38918.0,51.831863,4.13181
Helmond,Noord-Brabant,89346.0,51.479255,5.65701
Hendrik-Ido-Ambacht,Zuid-Holland,28952.0,51.842397,4.639506
Hengelo,Overijssel,80975.0,52.257412,6.792772
Heumen,Gelderland,16342.0,51.764532,5.84315
Heusden,Noord-Brabant,43180.0,51.733004,5.138279
Hillegom,Zuid-Holland,20987.0,52.295626,4.579176
Hilvarenbeek,Noord-Brabant,15082.0,51.465175,5.15109
Hilversum,Noord-Holland,86574.0,52.22917,5.166897
Hof van Twente,Overijssel,34987.0,52.241427,6.591555
Hollands Kroon,Noord-Holland,47501.0,52.811859,5.00119
Hoogeveen,Drenthe,54680.0,52.728616,6.4901
Hoorn,Noord-Holland,71741.0,52.642365,5.060212
Horst aan de Maas,Limburg,41718.0,51.423226,6.030317
Houten,Utrecht,48427.0,52.002991,5.18576
Huizen,Noord-Holland,41239.0,52.299465,5.243393
Hulst,Zeeland,27402.0,51.280691,4.054887
IJsselstein,Utrecht,34268.0,52.017765,5.0403
Kaag en Braassem,Zuid-Holland,25758.0,52.204135,4.631315
Kampen,Overijssel,51069.0,52.557964,5.914462
Kapelle,Zeeland,12508.0,51.484755,3.959631
Katwijk,Zuid-Holland,62825.0,52.19802,4.419943
Kerkrade,Limburg,46773.0,50.865946,6.070549
Koggenland,Noord-Holland,22473.0,52.652196,4.942015
Kollumerland en Nieuwkruisland,Friesland,12856.0,53.305888,6.189109
Korendijk,Zuid-Holland,10693.0,51.810961,4.342386
Krimpen aan den IJssel,Zuid-Holland,28814.0,51.914353,4.596233
Krimpenerwaard,Zuid-Holland,54287.0,51.982222,4.781667
Laarbeek,Noord-Brabant,21815.0,51.538447,5.621273
Landerd,Noord-Brabant,15262.0,51.726775,5.659492
Landgraaf,Limburg,37530.0,50.892765,6.022408
